time_s,mean,std,seed0,seed1,seed2,seed3,seed4
344.25,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
344.50,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
344.75,0.150000,0.145774,0.000000,0.375000,0.250000,0.000000,0.125000
345.00,0.175000,0.187083,0.000000,0.500000,0.250000,0.000000,0.125000
345.25,0.175000,0.187083,0.000000,0.500000,0.250000,0.000000,0.125000
345.50,0.200000,0.169558,0.000000,0.500000,0.250000,0.125000,0.125000
345.75,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
346.00,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
346.25,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
346.50,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
346.75,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
347.00,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
347.25,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
347.50,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
347.75,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
348.00,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
348.25,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
348.50,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
348.75,0.225000,0.165831,0.000000,0.500000,0.250000,0.125000,0.250000
349.00,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
349.25,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
349.50,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
349.75,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
350.00,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
350.25,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
350.50,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
350.75,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
351.00,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
351.25,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
351.50,0.275000,0.254951,0.000000,0.750000,0.250000,0.125000,0.250000
351.75,0.275000,0.254951,0.000000,0.750000,0.250000,0.125000,0.250000
352.00,0.275000,0.254951,0.000000,0.750000,0.250000,0.125000,0.250000
352.25,0.250000,0.209165,0.000000,0.625000,0.250000,0.125000,0.250000
352.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
352.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
353.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
353.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
353.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
353.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
354.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
354.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
354.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
354.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
355.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
355.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
355.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
355.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
356.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
356.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
356.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
356.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
357.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
357.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
357.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
357.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
358.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
358.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
358.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
358.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
359.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
359.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
359.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
359.75,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
360.00,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
360.25,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
360.50,0.275000,0.200000,0.000000,0.625000,0.250000,0.250000,0.250000
